"School Name","DBN","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","Number of Students in Cohort","Percent of Graduation Students in Cohort","Percent of Cohort Who Took Regents","Percent of Graduates Who Took Regents","Percent of Cohort Who Took Advanced Regents","Percent of Graduates Who Took Advanced Regents","Percent of Cohort Who Took Regents Without Advanced","Percent of Graduates Who Took Regents Without Advanced","Percent of Cohort Who Are Still Enrolled","Percent of Cohort Who Dropped Out","ELA Mean Scale Score","Percent of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 4 in ELA","Math Mean Scale Score","Percent of Students Scoring Level 1 in Math","Percent of Students Scoring Level 2 in Math","Percent of Students Scoring Level 3 in Math","Percent of Students Scoring Level 4 in Math"
"Bronx Writing Academy","X323","4207274","498","8448.3414","General Academic","Intermediate","270 EAST 167 STREET","BRONX","NY","10456","X","40.83324790000000","-73.91405960000000","[-73.9140596,40.8332479]","EMS","A",,,,,,,,,,,"2.061","21","51","25","1","2.323","13","49","29","8"
"Brooklyn Academy High School","K553","2344006","217","10801.8710","Transfer School","High School","832 MARCY AVENUE","BROOKLYN","NY","11216","K","40.68507420000000","-73.94717580000000","[-73.9471758,40.6850742]","HST","A","64","36","9","26","0","0","9","26","53","9",,,,,,,,,,
"Brooklyn Academy of Science and the Environment","K547","3908625","446","8763.7332","General Academic","High School","883 CLASSON AVENUE","BROOKLYN","NY","11225","K","40.66980600000000","-73.96066800000000","[-73.960668,40.669806]",,,"112","66","53","80","11","16","42","64","29","5",,,,,,,,,,
"Brooklyn Bridge Academy","K578","1864762","214","8713.8411","Transfer School","High School","6565 FLATLANDS AVENUE","BROOKLYN","NY","11236","K","40.63314200000000","-73.91707199999999","[-73.91707199999999,40.633142]","HST","C","84","13","5","36","0","0","5","36","70","10",,,,,,,,,,
"Brooklyn Brownstone School","K628","965416","110","8776.5091","General Academic","Early Childhood","272 MACDONOUGH STREET","BROOKLYN","NY","11233","K","40.68195930000000","-73.93537189999999","[-73.93537189999999,40.6819593]",,,,,,,,,,,,,,,,,,,,,,
"Brooklyn College Academy","K555","3430577","586","5854.2270","General Academic","Secondary School","350 CONEY ISLAND AVENUE","BROOKLYN","NY","11218","K","40.64925190000000","-73.97191190000000","[-73.9719119,40.6492519]","EMS","B","124","95","84","88","15","16","69","72","5","0","2.818","0","28","61","10","2.818","0","28","61","10"
"Brooklyn Collegiate: A College Board School","K493","3922866","606","6473.3762","General Academic","Secondary School","2021 BERGEN STREET","BROOKLYN","NY","11233","K","40.67412080000000","-73.91358009999999","[-73.91358009999999,40.6741208]","EMS","D","62","68","42","62","2","2","40","60","26","2","2.232","9","59","30","1","2.220","11","59","27","3"
"Brooklyn Community High School of Communication, Arts and Media","K412","3257517","426","7646.7535","General Academic","High School","300 WILLOUGHBY AVENUE","BROOKLYN","NY","11205","K","40.69261740000000","-73.95896239999999","[-73.95896239999999,40.6926174]",,,"2","0","0","0","0","0","0","0","0","0",,,,,,,,,,
"Brooklyn Democracy Academy","K643","1746237","199","8775.0603","Transfer School","High School","985 ROCKAWAY AVENUE","BROOKLYN","NY","11212","K","40.65629270000000","-73.90732410000000","[-73.9073241,40.6562927]","HST","A","56","5","5","100","0","0","5","100","88","7",,,,,,,,,,
"Brooklyn Generation School","K566","2056386","220","9347.2091","General Academic","High School","6565 FLATLANDS AVENUE","BROOKLYN","NY","11236","K","40.63314200000000","-73.91707199999999","[-73.91707199999999,40.633142]",,,"1","0","0","0","0","0","0","0","0","0",,,,,,,,,,
"Brooklyn High School for Law and Technology","K498","3493161","421","8297.2945","General Academic","High School","1396 BROADWAY","BROOKLYN","NY","11221","K","40.68839100000000","-73.92061400000000","[-73.920614,40.688391]",,,"132","67","47","70","10","15","37","55","7","14",,,,,,,,,,
"Brooklyn High School for Leadership and Community Service","K616","2150916","211","10193.9147","Transfer School","High School","300 WILLOUGHBY AVENUE","BROOKLYN","NY","11205","K","40.69261740000000","-73.95896239999999","[-73.95896239999999,40.6926174]","HST","C","50","0","0","0","0","0","0","0","96","4",,,,,,,,,,
"Brooklyn High School of the Arts","K656","4396043","608","7230.3339","General Academic","High School","345 DEAN STREET","BROOKLYN","NY","11217","K","40.68348599999999","-73.98027100000000","[-73.980271,40.68348599999999]",,,"154","69","51","74","12","17","39","57","29","3",,,,,,,,,,
"Brooklyn International High School","K439","3342537","414","8073.7609","General Academic","High School","49 FLATBUSH AVENUE EXTENSION","BROOKLYN","NY","11201","K","40.69720890000000","-73.98475160000000","[-73.9847516,40.6972089]",,,"87","85","61","72","0","0","61","72","13","2",,,,,,,,,,
"Brooklyn Lab School","K639","2062542","211","9775.0806","General Academic","High School","999 JAMAICA AVENUE","BROOKLYN","NY","11208","K","40.69228000000000","-73.86892700000000","[-73.868927,40.69228]",,,,,,,,,,,,,,,,,,,,,,
"Brooklyn Latin School, The","K449","2011451","281","7158.1886","General Academic","High School","223 GRAHAM AVENUE","BROOKLYN","NY","11206","K","40.71035300000000","-73.94372299999999","[-73.94372299999999,40.710353]",,,,,,,,,,,,,,,,,,,,,,
"Brooklyn Preparatory High School","K488","3094479","351","8816.1795","General Academic","High School","257 NORTH 6 STREET","BROOKLYN","NY","11211","K","40.71519450000000","-73.95480080000000","[-73.9548008,40.7151945]",,,"84","77","57","74","4","5","54","69","17","1",,,,,,,,,,
"Brooklyn School for Global Studies","K429","4784607","493","9705.0852","General Academic","Secondary School","284 BALTIC STREET","BROOKLYN","NY","11201","K","40.68546900000000","-73.99349660000000","[-73.9934966,40.685469]","EMS","B","107","42","30","71","0","0","30","71","40","6","2.030","16","64","19","0","2.222","10","59","28","2"
"Brooklyn School for Music & Theatre","K548","3237390","411","7876.8613","General Academic","High School","883 CLASSON AVENUE","BROOKLYN","NY","11225","K","40.66980600000000","-73.96066800000000","[-73.960668,40.669806]",,,"98","82","58","71","13","16","45","55","15","3",,,,,,,,,,
"BROOKLYN SCHOOL OF INQUIRY","K686","866740","108","8025.3704","General Academic","Early Childhood","50 AVENUE P","BROOKLYN","NY","11204","K","40.60712560000000","-73.98714509999999","[-73.98714509999999,40.6071256]",,,,,,,,,,,,,,,,,,,,,,
"Brooklyn Secondary School for Collaborative Studies","K448","5701670","704","8098.9631","General Academic","Secondary School","610 HENRY STREET","BROOKLYN","NY","11231","K","40.67945300000000","-74.00202700000000","[-74.002027,40.679453]","EMS","B","79","87","66","75","0","0","66","75","6","4","2.272","12","51","33","3","2.250","13","56","24","7"
"Brooklyn Studio Secondary School","K690","6926652","875","7916.1737","General Academic","Secondary School","8310 21ST AVENUE","BROOKLYN","NY","11214","K","40.60497220000000","-73.99434440000000","[-73.9943444,40.6049722]","EMS","A","134","60","52","86","15","25","37","62","23","11","2.626","4","34","56","5","3.292","2","16","32","49"
"Brooklyn Technical High School","K430","24960730","4947","5045.6297","General Academic","High School","29 FT GREENE PLACE","BROOKLYN","NY","11217","K","40.68887200000000","-73.97643800000000","[-73.976438,40.688872]",,,"1011","89","89","100","83","93","7","8","10","0",,,,,,,,,,
"Brooklyn Theatre Arts High School","K567","2143855","250","8575.4200","General Academic","High School","6565 FLATLANDS AVENUE","BROOKLYN","NY","11236","K","40.63314200000000","-73.91707199999999","[-73.91707199999999,40.633142]",,,,,,,,,,,,,,,,,,,,,,
"Brownsville Academy High School","K568","2206195","221","9982.7828","Transfer School","High School","1150 EAST NEW YORK AVENUE","BROOKLYN","NY","11212","K","40.66633230000000","-73.92403900000000","[-73.924039,40.6663323]","HST","B","86","13","6","46","0","0","6","46","79","8",,,,,,,,,,
"Bushwick Community High School","K564","3508707","395","8882.8025","Transfer School","High School","231 PALMETTO STREET","BROOKLYN","NY","11221","K","40.69548690000000","-73.91502460000000","[-73.9150246,40.6954869]","HST","B","140","4","2","60","0","0","2","60","59","35",,,,,,,,,,
"Bushwick Leaders High School for Academic Excellence","K556","3968157","481","8249.8067","General Academic","High School","797 BUSHWICK AVENUE","BROOKLYN","NY","11221","K","40.69512000000000","-73.92733870000000","[-73.9273387,40.69512]",,,"103","63","27","43","1","2","26","42","24","6",,,,,,,,,,
"Bushwick School for Social Justice","K549","3620943","420","8621.2929","General Academic","High School","400 IRVING AVENUE","BROOKLYN","NY","11237","K","40.69698250000000","-73.91082250000000","[-73.9108225,40.6969825]",,,"102","65","34","53","3","5","31","49","18","17",,,,,,,,,,
"BUSINESS OF SPORTS SCHOOL","M393","1309894","103","12717.4175","Career Technical","High School","439 WEST 49TH STREET","MANHATTAN","NY","10019","M","40.76361310000000","-73.99114820000000","[-73.9911482,40.7636131]",,,,,,,,,,,,,,,,,,,,,,
"Business, Computer Applications & Entrepreneurship High School","Q496","3347286","476","7032.1134","General Academic","High School","207- 01 116TH AVENUE","QUEENS","NY","11411","Q","40.69879000000000","-73.74632600000000","[-73.746326,40.69879]",,,"107","52","33","63","5","9","28","54","36","8",,,,,,,,,,
"Cascades High School","M650","2220549","226","9825.4381","Transfer School","High School","198 FORSYTH STREET","MANHATTAN","NY","10002","M","40.72251800000000","-73.99059720000000","[-73.9905972,40.722518]","HST","A","95","33","18","55","0","0","18","55","57","7",,,,,,,,,,
"Catherine & Count Basie Middle School 72","Q072","6642499","804","8261.8147","General Academic","Intermediate","133-25 GUY R BREWER BOULEVARD","QUEENS","NY","11434","Q","40.67510110000000","-73.77569050000000","[-73.7756905,40.6751011]","EMS","C",,,,,,,,,,,"2.262","15","47","33","4","2.414","17","43","20","19"
"Celia Cruz Bronx High School of Music, The","X442","3242010","365","8882.2192","General Academic","High School","2780 RESERVOIR AVENUE","BRONX","NY","10468","X","40.87088010000000","-73.89775290000000","[-73.8977529,40.8708801]",,,"74","68","51","76","8","12","43","64","23","3",,,,,,,,,,
"Central Park East High School","M555","2842202","332","8560.8494","General Academic","High School","1573 MADISON AVENUE","MANHATTAN","NY","10029","M","40.79367990000000","-73.94921640000000","[-73.9492164,40.7936799]",,,"72","58","32","55","0","0","32","55","25","7",,,,,,,,,,
"Central Park East I","M497","2012484","204","9865.1176","General Academic","Elementary","1573 MADISON AVENUE","MANHATTAN","NY","10029","M","40.79367990000000","-73.94921640000000","[-73.9492164,40.7936799]","EMS","C",,,,,,,,,,,"2.606","9","35","41","14","2.616","9","33","44","13"
"Central Park East II","M964","2379855","218","10916.7661","General Academic","Elementary","19 EAST 103 STREET","MANHATTAN","NY","10029","M","40.79229400000000","-73.95143399999999","[-73.95143399999999,40.792294]","EMS","B",,,,,,,,,,,"2.363","17","38","35","9","2.585","9","37","39","14"
"Channel View School for Research","Q262","3675704","565","6505.6708","General Academic","Secondary School","100-00 BEACH CHANNEL DRIVE","QUEENS","NY","11694","Q","40.58555339999999","-73.82310249999999","[-73.82310249999999,40.58555339999999]","EMS","B","68","93","82","89","21","22","62","67","3","4","2.560","4","42","48","6","2.878","0","32","47","20"
"Chelsea Career and Technical Education High School","M615","5415799","610","8878.3590","Career Technical","High School","131 AVENUE OF THE AMERICAS","MANHATTAN","NY","10013","M","40.72488329999999","-74.00429450000000","[-74.0042945,40.72488329999999]",,,"170","51","29","58","13","26","17","33","12","18",,,,,,,,,,
"Choir Academy of Harlem","M469","4047058","417","9705.1751","General Academic","Secondary School","2005 MADISON AVENUE","MANHATTAN","NY","10035","M","40.80610660000000","-73.94106670000000","[-73.9410667,40.8061066]","EMS","C","84","56","27","49","1","2","26","47","25","12","1.877","24","63","10","1","2.040","23","52","19","4"
"Christopher Columbus High School","X415","12659238","1396","9068.2221","General Academic","High School","925 ASTOR AVENUE","BRONX","NY","10469","X","40.85964000000000","-73.86074280000000","[-73.8607428,40.85964]",,,"435","36","18","51","2","6","16","45","38","18",,,,,,,,,,
"City College Academy of the Arts","M293","3098804","414","7485.0338","General Academic","Secondary School","4600 BROADWAY","MANHATTAN","NY","10040","M","40.86094500000000","-73.93007290000000","[-73.9300729,40.860945]","EMS","A",,,,,,,,,,,"2.444","6","46","44","3","2.939","2","31","37","29"
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY","K674","1270282","124","10244.2097","Career Technical","High School","105 JOHNSON STREET","BROOKLYN","NY","11201","K","40.69543800000000","-73.98609990000000","[-73.9860999,40.695438]",,,,,,,,,,,,,,,,,,,,,,
"Civic Leadership Academy","Q293","1664771","221","7532.9005","General Academic","High School","45-10 94TH STREET","QUEENS","NY","11373","Q","40.74320400000000","-73.87148200000000","[-73.871482,40.743204]",,,,,,,,,,,,,,,,,,,,,,
"Clara Barton High School","K600","14987136","1980","7569.2606","Career Technical","High School","901 CLASSON AVENUE","BROOKLYN","NY","11225","K","40.66930580000000","-73.96205719999999","[-73.96205719999999,40.6693058]",,,"489","66","46","70","4","6","42","64","23","7",,,,,,,,,,
"Coalition School for Social Change","M409","3685898","385","9573.7610","General Academic","High School","2351 1ST AVENUE","MANHATTAN","NY","10035","M","40.79930540000000","-73.93302550000000","[-73.9330255,40.7993054]",,,"83","76","15","19","0","0","15","19","0","11",,,,,,,,,,
"Cobble Hill School of American Studies","K519","6388059","718","8897.0181","General Academic","High School","347 BALTIC STREET","BROOKLYN","NY","11201","K","40.68472200000000","-73.99058099999999","[-73.99058099999999,40.684722]",,,"155","63","30","47","2","3","28","44","16","9",,,,,,,,,,
"Collaborative Academy of Science, Technology, & Language-Arts Education","M345","2693267","256","10520.5742","General Academic","Intermediate","220 HENRY STREET","MANHATTAN","NY","10002","M","40.71348090000000","-73.98532120000002","[-73.98532120000002,40.7134809]","EMS","B",,,,,,,,,,,"2.367","8","50","36","4","2.505","10","42","34","13"
"Collegiate Institute for Math and Science","X288","3284943","485","6773.0784","General Academic","High School","925 ASTOR AVENUE","BRONX","NY","10469","X","40.85964000000000","-73.86074280000000","[-73.8607428,40.85964]",,,"113","72","56","78","20","27","36","51","12","12",,,,,,,,,,
"Columbia Secondary School","M362","1700735","288","5905.3299","General Academic","Intermediate","425 WEST 123 STREET","MANHATTAN","NY","10027","M","40.81069140000000","-73.95625600000000","[-73.956256,40.8106914]","EMS","C",,,,,,,,,,,"2.989","0","15","70","14","3.454","0","3","48","48"
"Community Action School - MS 258","M258","2369896","254","9330.2992","General Academic","Intermediate","154 WEST 93 STREET","MANHATTAN","NY","10025","M","40.79166970000000","-73.97072620000000","[-73.9707262,40.7916697]","EMS","A",,,,,,,,,,,"2.292","5","61","32","1","2.740","1","44","35","20"
"Community Health Academy of the Heights","M346","3584379","432","8297.1736","General Academic","Secondary School","504 WEST 158TH STREET","MANHATTAN","NY","10032","M","40.83355130000000","-73.94171829999999","[-73.94171829999999,40.8335513]","EMS","C",,,,,,,,,,,"1.806","31","55","12","0","1.979","22","58","18","1"
"Community School for Social Justice","X427","2997825","343","8740.0146","General Academic","High School","350 GERARD AVENUE","BRONX","NY","10451","X","40.81565240000000","-73.93044700000000","[-73.930447,40.8156524]",,,"82","50","9","17","0","0","9","17","27","20",,,,,,,,,,
"Comprehensive Model School Project M.S. 327","X327","2028339","279","7270.0323","General Academic","Intermediate","1501 JEROME AVENUE","BRONX","NY","10452","X","40.84238180000000","-73.91616710000000","[-73.9161671,40.8423818]","EMS","A",,,,,,,,,,,"2.313","9","52","36","2","3.000","5","23","39","33"
"Concord High School","R470","1870393","170","11002.3118","Transfer School","High School","109 RHINE AVENUE","STATEN ISLAND","NY","10304","R","40.61096280000000","-74.08727329999999","[-74.08727329999999,40.6109628]","HST","A","69","28","13","47","0","0","13","47","51","12",,,,,,,,,,
"Conselyea Preparatory School","K577","3042152","419","7260.5060","General Academic","Intermediate","208 NORTH 5 STREET","BROOKLYN","NY","11211","K","40.71528330000000","-73.95662240000000","[-73.9566224,40.7152833]","EMS","B",,,,,,,,,,,"2.515","5","45","42","7","2.757","5","37","34","23"
"Cornerstone Academy for Social Action","X189","4005462","430","9315.0279","General Academic","Elementary","3441 STEENWICK AVENUE","BRONX","NY","10475","X","40.88274200000001","-73.83061599999999","[-73.83061599999999,40.88274200000001]","EMS","F",,,,,,,,,,,"1.949","27","52","16","3","2.252","15","53","22","9"
"CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA)","X462","1281244","133","9633.4135","General Academic","Intermediate","3441 STEENWICK AVENUE","BRONX","NY","10475","X","40.88274200000001","-73.83061599999999","[-73.83061599999999,40.88274200000001]","EMS","None",,,,,,,,,,,"2.020","19","59","21","0","2.323","8","57","28","6"
"CRESTON ACADEMY","X447","1568621","138","11366.8188","General Academic","Intermediate","125 EAST 181 STREET","BRONX","NY","10453","X","40.85490280000000","-73.90341980000000","[-73.9034198,40.8549028]","EMS","None",,,,,,,,,,,"1.888","27","56","16","0","2.505","10","44","30","15"
"Crotona Academy High School","X321","1512011","137","11036.5766","Transfer School","High School","639-55 ST. ANNS AVENUE","BRONX","NY","10455","X","40.81653080000000","-73.91172470000000","[-73.9117247,40.8165308]","HST","D","50","8","6","75","0","0","6","75","70","20",,,,,,,,,,
"CSI High School for International Studies","R047","3210087","492","6524.5671","General Academic","High School","100 ESSEX DRIVE","STATEN ISLAND","NY","10314","R","40.58196900000000","-74.15935999999999","[-74.15935999999999,40.581969]",,,"93","95","83","88","19","21","63","67","5","0",,,,,,,,,,
"Cultural Academy for the Arts and Sciences","K629","1493892","152","9828.2368","General Academic","High School","5800 TILDEN AVENUE","BROOKLYN","NY","11203","K","40.64773300000000","-73.92220200000000","[-73.922202,40.647733]",,,,,,,,,,,,,,,,,,,,,,
"Curtis High School","R450","18300013","2654","6895.2573","General Academic","High School","105 HAMILTON AVENUE","STATEN ISLAND","NY","10301","R","40.64474890000000","-74.08118130000001","[-74.08118130000001,40.6447489]",,,"680","71","62","88","21","29","42","59","19","8",,,,,,,,,,
