"School Name","DBN","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","Number of Students in Cohort","Percent of Graduation Students in Cohort","Percent of Cohort Who Took Regents","Percent of Graduates Who Took Regents","Percent of Cohort Who Took Advanced Regents","Percent of Graduates Who Took Advanced Regents","Percent of Cohort Who Took Regents Without Advanced","Percent of Graduates Who Took Regents Without Advanced","Percent of Cohort Who Are Still Enrolled","Percent of Cohort Who Dropped Out","ELA Mean Scale Score","Percent of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 4 in ELA","Math Mean Scale Score","Percent of Students Scoring Level 1 in Math","Percent of Students Scoring Level 2 in Math","Percent of Students Scoring Level 3 in Math","Percent of Students Scoring Level 4 in Math"
"Banana Kelly High School","X530","4078497","464","8789.8642","General Academic","High School","965 LONGWOOD AVENUE","BRONX","NY","10459","X","40.81757310000000","-73.89800389999999","[-73.89800389999999,40.8175731]",,,"114","52","29","56","0","0","29","56","30","12",,,,,,,,,,
"Bard High School Early College","M696","3876290","584","6637.4829","General Academic","High School","525 EAST HOUSTON STREET","MANHATTAN","NY","10002","M","40.71746070000000","-73.97658530000000","[-73.9765853,40.7174607]",,,"115","93","93","100","0","0","93","100","6","1",,,,,,,,,,
"Bard High School Early College Queens","Q299","2947056","456","6462.8421","General Academic","High School","30-20 THOMSON AVENUE","QUEENS","NY","11101","Q","40.74492380000000","-73.93693100000002","[-73.93693100000002,40.7449238]",,,"3","0","0","0","0","0","0","0","0","0",,,,,,,,,,
"Baruch College Campus High School","M411","2263497","440","5144.3114","General Academic","High School","55 EAST 25 STREET","MANHATTAN","NY","10010","M","40.74165210000000","-73.98586610000001","[-73.98586610000001,40.7416521]",,,"96","100","98","98","57","57","41","41","0","0",,,,,,,,,,
"BATTERY PARK CITY SCHOOL","M276","772277","51","15142.6863","General Academic","K-8","55 BATTERY PLACE","MANHATTAN","NY","10001","M","40.70726010000000","-74.01680410000000","[-74.0168041,40.7072601]",,,,,,,,,,,,,,,,,,,,,,
"BAYCHESTER ACADEMY","X169","1619665","148","10943.6824","General Academic","Early Childhood","3500 EDSON AVENUE","BRONX","NY","10466","X","40.88096040000000","-73.83964270000000","[-73.8396427,40.8809604]",,,,,,,,,,,,,,,,,,,,,,
"Bayside High School","Q495","18421301","3575","5152.8115","General Academic","High School","32-24 CORPORAL KENNEDY STREET","QUEENS","NY","11361","Q","40.77110100000000","-73.78021000000000","[-73.78021,40.771101]",,,"1085","79","76","97","53","68","23","29","14","5",,,,,,,,,,
"Beach Channel High School","Q410","10042623","1319","7613.8158","General Academic","High School","100-00 BEACH CHANNEL DRIVE","QUEENS","NY","11694","Q","40.58555339999999","-73.82310249999999","[-73.82310249999999,40.58555339999999]",,,"427","45","36","79","1","3","34","76","27","19",,,,,,,,,,
"Beacon High School","M479","5543607","1144","4845.8103","General Academic","High School","227-243 WEST 61ST STREET","MANHATTAN","NY","10023","M","40.77260600000000","-73.98832000000000","[-73.98832,40.772606]",,,"246","95","81","85","0","0","81","85","3","0",,,,,,,,,,
"Bedford Academy High School","K595","2620837","342","7663.2661","General Academic","High School","1119 BEDFORD AVENUE","BROOKLYN","NY","11216","K","40.68536100000000","-73.95421300000000","[-73.954213,40.685361]",,,"77","95","92","97","71","75","21","22","5","0",,,,,,,,,,
"Bedford Stuyvesant Preparatory High School","K575","1585585","112","14157.0089","Transfer School","High School","832 MARCY AVENUE","BROOKLYN","NY","11216","K","40.68507420000000","-73.94717580000000","[-73.9471758,40.6850742]","HST","B","52","37","23","63","0","0","23","63","54","8",,,,,,,,,,
"BELL Academy","Q294","2284017","313","7297.1789","General Academic","Intermediate","18-25 212 STREET","QUEENS","NY","11360","Q","40.78234590000000","-73.77844000000000","[-73.77844,40.7823459]","EMS","A",,,,,,,,,,,"2.724","5","28","54","11","3.242","3","14","38","44"
"Belmont Preparatory High School","X434","4214439","413","10204.4528","General Academic","High School","500 EAST FORDHAM ROAD","BRONX","NY","10458","X","40.85970190000000","-73.88758890000000","[-73.8875889,40.8597019]",,,"96","55","49","89","8","15","41","74","32","10",,,,,,,,,,
"Benjamin Banneker Academy","K670","4733380","829","5709.7467","General Academic","High School","71-77 CLINTON AVENUE","BROOKLYN","NY","11205","K","40.69536799999999","-73.96873400000000","[-73.968734,40.69536799999999]",,,"246","95","94","98","54","57","39","42","3","1",,,,,,,,,,
"Benjamin N. Cardozo High School","Q415","21089509","4018","5248.7578","General Academic","High School","57-00 223RD STREET","QUEENS","NY","11364","Q","40.75182840000000","-73.75598370000002","[-73.75598370000002,40.7518284]",,,"1013","77","69","90","38","49","32","41","15","5",,,,,,,,,,
"Boys and Girls High School","K455","17429686","2293","7601.2586","General Academic","High School","1700 FULTON STREET","BROOKLYN","NY","11213","K","40.67847200000000","-73.93159790000000","[-73.9315979,40.678472]",,,"815","37","25","67","2","5","23","62","42","12",,,,,,,,,,
"Bread & Roses Integrated Arts High School","M685","4056448","512","7922.7500","General Academic","High School","6 EDGECOMBE AVENUE","MANHATTAN","NY","10030","M","40.81754620000000","-73.94756300000000","[-73.947563,40.8175462]",,,"135","57","45","79","2","4","43","75","30","10",,,,,,,,,,
"Brighter Choice Community School","K627","1034651","110","9405.9182","General Academic","Elementary","280 HART STREET","BROOKLYN","NY","11206","K","40.69365300000000","-73.94130899999999","[-73.94130899999999,40.693653]","EC","D",,,,,,,,,,,"1.909","30","52","13","4","2.204","16","54","20","8"
"Bronx Academy of Health Careers","X290","3426845","467","7337.9979","General Academic","High School","800 EAST GUN HILL ROAD","BRONX","NY","10467","X","40.87516300000000","-73.86165299999999","[-73.86165299999999,40.875163]",,,"105","63","49","77","6","9","43","68","19","14",,,,,,,,,,
"Bronx Aerospace High School","X545","3672998","403","9114.1390","General Academic","High School","800 EAST GUN HILL ROAD","BRONX","NY","10467","X","40.87516300000000","-73.86165299999999","[-73.86165299999999,40.875163]",,,"83","92","36","40","0","0","36","40","6","2",,,,,,,,,,
"BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL","X479","1015471","84","12088.9405","General Academic","High School","800 HOME STREET","BRONX","NY","10456","X","40.82691600000000","-73.90059699999999","[-73.90059699999999,40.826916]",,,,,,,,,,,,,,,,,,,,,,
"Bronx Center for Science and Mathematics","X260","3002349","430","6982.2070","General Academic","High School","1363 FULTON AVENUE","BRONX","NY","10456","X","40.83387500000001","-73.90281800000000","[-73.902818,40.83387500000001]",,,"93","79","72","92","28","36","44","56","20","0",,,,,,,,,,
"Bronx Collegiate Academy","X227","3417625","391","8740.7289","General Academic","High School","240 EAST 172 STREET","BRONX","NY","10457","X","40.83929500000000","-73.91138400000000","[-73.911384,40.839295]",,,"94","50","21","43","0","0","21","43","36","12",,,,,,,,,,
"Bronx Community High School","X377","1880464","190","9897.1789","Transfer School","High School","1980 LAFAYETTE AVENUE","BRONX","NY","10473","X","40.82232550000000","-73.85595690000000","[-73.8559569,40.8223255]","HST","C","98","5","2","40","0","0","2","40","79","13",,,,,,,,,,
"Bronx Dance Academy School","X308","2442363","277","8817.1949","General Academic","Intermediate","3617 BAINBRIDGE AVENUE","BRONX","NY","10467","X","40.88541200000000","-73.87804700000000","[-73.878047,40.885412]","EMS","B",,,,,,,,,,,"2.101","12","65","22","0","2.285","12","55","22","9"
"Bronx Early College Academy for Teaching & Learning","X324","1994238","265","7525.4264","General Academic","Intermediate","250 EAST 164 STREET","BRONX","NY","10456","X","40.82835360000000","-73.91724190000000","[-73.9172419,40.8283536]","EMS","B",,,,,,,,,,,"2.252","12","52","33","2","2.469","10","41","38","9"
"Bronx Engineering and Technology Academy","X213","3321186","404","8220.7574","General Academic","High School","99 TERRACE VIEW AVENUE","BRONX","NY","10463","X","40.87706970000000","-73.91261690000000","[-73.9126169,40.8770697]",,,"76","75","57","75","29","39","28","37","8","12",,,,,,,,,,
"Bronx Green Middle School","X326","3331928","424","7858.3208","General Academic","Intermediate","2441 WALLACE AVENUE","BRONX","NY","10467","X","40.86206019999999","-73.86458840000000","[-73.8645884,40.86206019999999]","EMS","C",,,,,,,,,,,"2.000","19","61","17","1","2.141","17","55","23","4"
"Bronx Guild","X452","3252850","320","10165.1563","General Academic","High School","1980 LAFAYETTE AVENUE","BRONX","NY","10473","X","40.82232550000000","-73.85595690000000","[-73.8559569,40.8223255]",,,"43","54","7","13","0","0","7","13","23","16",,,,,,,,,,
"Bronx Haven High School","X381","1409163","112","12581.8125","Transfer School","High School","333 EAST 151 STREET","BRONX","NY","10451","X","40.81820260000000","-73.91967600000000","[-73.919676,40.8182026]","HST","B","53","9","0","0","0","0","0","0","81","8",,,,,,,,,,
"Bronx Health Sciences High School","X249","2592976","308","8418.7532","General Academic","High School","750 BAYCHESTER AVENUE","BRONX","NY","10475","X","40.87404000000000","-73.83168700000000","[-73.831687,40.87404]",,,"61","95","89","93","10","10","79","83","0","5",,,,,,,,,,
"Bronx High School for Law and Community Service","X439","4171900","451","9250.3326","General Academic","High School","500 EAST FORDHAM ROAD","BRONX","NY","10458","X","40.85970190000000","-73.88758890000000","[-73.8875889,40.8597019]",,,"97","51","42","84","3","6","39","78","31","19",,,,,,,,,,
"Bronx High School for Medical Science","X413","4565350","458","9968.0131","General Academic","Secondary School","240 EAST 172 STREET","BRONX","NY","10457","X","40.83929500000000","-73.91138400000000","[-73.911384,40.839295]","EMS","B","72","96","83","87","28","29","56","58","1","1","2.292","10","51","37","1","2.590","13","34","34","19"
"Bronx High School for the Visual Arts","X418","3295872","406","8117.9113","General Academic","High School","2040 ANTIN PL","BRONX","NY","10462","X","40.85169740000000","-73.86467420000000","[-73.8646742,40.8516974]",,,"96","49","27","55","1","2","26","53","32","14",,,,,,,,,,
"Bronx High School for Writing and Communication Arts","X253","3223493","452","7131.6217","General Academic","High School","800 EAST GUN HILL ROAD","BRONX","NY","10467","X","40.87516300000000","-73.86165299999999","[-73.86165299999999,40.875163]",,,"96","63","31","50","1","2","30","48","15","19",,,,,,,,,,
"Bronx High School of Business","X412","4874178","443","11002.6591","General Academic","High School","240 EAST 172 STREET","BRONX","NY","10457","X","40.83929500000000","-73.91138400000000","[-73.911384,40.839295]",,,"102","65","47","73","20","30","28","42","2","28",,,,,,,,,,
"Bronx High School of Science","X445","15008825","2941","5103.3067","General Academic","High School","75 WEST 205 STREET","BRONX","NY","10468","X","40.87765950000000","-73.89107039999999","[-73.89107039999999,40.8776595]",,,"581","99","99","100","98","99","1","1","1","0",,,,,,,,,,
"Bronx International High School","X403","3323693","356","9336.2163","General Academic","High School","1110 BOSTON ROAD","BRONX","NY","10456","X","40.82801480000000","-73.90402320000000","[-73.9040232,40.8280148]",,,"61","74","36","49","2","2","34","47","3","12",,,,,,,,,,
"Bronx Lab School","X265","3204406","448","7152.6920","General Academic","High School","800 EAST GUN HILL ROAD","BRONX","NY","10467","X","40.87516300000000","-73.86165299999999","[-73.86165299999999,40.875163]",,,"96","74","39","52","0","0","39","52","26","0",,,,,,,,,,
"Bronx Latin","X267","3098815","351","8828.5328","General Academic","Secondary School","800 HOME STREET","BRONX","NY","10456","X","40.82691600000000","-73.90059699999999","[-73.90059699999999,40.826916]","EMS","A",,,,,,,,,,,"2.181","11","60","27","1","2.464","8","47","34","10"
"Bronx Leadership Academy High School","X525","4834039","658","7346.5638","General Academic","High School","1710 WEBSTER AVENUE","BRONX","NY","10457","X","40.84343120000000","-73.90315350000000","[-73.9031535,40.8434312]",,,"156","60","38","63","8","14","30","49","24","9",,,,,,,,,,
"Bronx Leadership Academy II High School","X527","3884741","446","8710.1816","General Academic","High School","730 CONCOURSE VILLAGE WEST","BRONX","NY","10451","X","40.82257620000000","-73.92365459999999","[-73.92365459999999,40.8225762]",,,"71","75","41","55","4","6","37","49","10","7",,,,,,,,,,
"Bronx Little School","X691","2085335","207","10074.0821","General Academic","Elementary","1827 ARCHER STREET","BRONX","NY","10460","X","40.83814400000000","-73.86604799999999","[-73.86604799999999,40.838144]","EMS","C",,,,,,,,,,,"2.252","14","53","25","7","2.373","12","48","29","10"
"Bronx Regional High School","X480","3269066","360","9080.7389","Transfer School","High School","1010 REV. J. A. POLITE AVENUE","BRONX","NY","10459","X","40.82310100000000","-73.89827300000000","[-73.898273,40.823101]","HST","B","119","22","8","39","0","0","8","39","65","9",,,,,,,,,,
"Bronx School for Law, Government and Justice","X505","5270512","632","8339.4177","General Academic","Secondary School","244 EAST 163 STREET","BRONX","NY","10451","X","40.82760830000000","-73.91892640000000","[-73.9189264,40.8276083]","EMS","C","98","67","46","68","4","6","42","62","25","5","2.313","5","59","34","1","2.596","6","42","37","14"
"Bronx School of Law and Finance","X284","3333592","429","7770.6107","General Academic","High School","99 TERRACE VIEW AVENUE","BRONX","NY","10463","X","40.87706970000000","-73.91261690000000","[-73.9126169,40.8770697]",,,"105","67","54","81","10","14","45","67","19","11",,,,,,,,,,
"Bronx Studio School for Writers and Artists","X269","2505975","306","8189.4608","General Academic","Intermediate","928 SIMPSON STREET","BRONX","NY","10459","X","40.81991860000000","-73.89375489999999","[-73.89375489999999,40.8199186]","EMS","C",,,,,,,,,,,"2.193","12","56","29","1","2.260","16","47","32","5"
"Bronx Theatre High School","X546","3474020","419","8291.2172","General Academic","High School","99 TERRACE VIEW AVENUE","BRONX","NY","10463","X","40.87706970000000","-73.91261690000000","[-73.9126169,40.8770697]",,,"100","66","39","59","1","2","38","58","20","13",,,,,,,,,,
